,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
698,H000339,Dolphin Resort,The standard check-in time is 11:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances. No refund applicable in case of any cancellation of ferry due to weather condition and in case of natural calamity. Dinner Supplement compulsory for 20.12.15 till 20.01.2016  Extra to be paid at the hotel directly,havelock island,['Vijay Nagar Beach'],Havelock,Andaman and Nicobar Islands,India,11.7400867,92.6586401,Resort,1,"['Doctor on Call', 'Lobby', 'Front Desk', 'Local Tour / Travel Desk']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping']"
699,H000340,Express Inn The Business Luxury Hotel,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Government Approved Photo Ids required at the time of check in for all the room occupants. Check In and Check Out 12 Noon. Early check in subject to availability, may be chargeable.","Pathardi Phata, Mumbai Agra Road, Ambad,Nashik","['Raje Sambhaji Ground', 'Gandhinagar Airport', 'Pathardi Phata']",Nashik,Maharashtra,India,19.9525746551,73.755389145,Hotel,3,"['Swimming Pool', 'Ballroom', 'Billiards', 'Business Center ', 'Concierge', 'Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Squash court', 'Table Tennis', 'Local Tour / Travel Desk']","['Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Safe - In - Room']"
701,H000341,Dona Alcina Resorts,The standard check-in time is 12:00 PM and the standard check-out time is 10:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Please note that the hotel is charging a compulsory gala dinner surcharge on 24th Dec @ Rs 1000/- per person and on 31st Dec @ Rs 1000/- per head. This amount is payable directly on Check in or the hotel will deny check in.,"Opp.Candolim Health Centre,Candolim, Bardez, Goa","['Candolim Bus Stop', 'Sinquerim Beach', 'Candolim Area', 'Calangute Bus Stand', 'North Goa', 'Candolim Beach']",Goa,Goa,India,15.5155791637,73.7693225376,Resort,1,"['Swimming Pool', 'Bar / Lounge ', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Gift Shop ', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', '24 Hour Front Desk', 'Doorman', 'Power Backup', 'Gardens', 'Suitable For Children', 'Coffee Shop / Cafe', 'Conference Facility ', 'ATM / Banking', 'Picnic Area', 'Poolside Bar', 'Veranda', 'Car Rental', 'Pool Cafe', 'Internet Access Free', 'Family Room', 'Spa Services Nearby', 'Baggage Room', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Fire Safety', 'Fire Exit Signs', 'First-Aid Kit at Front Desk', 'Pest Control Facility', 'Security at All Hotel Entrances']","['Room Service ', 'Air Conditioning ', 'Balcony / Terrace', 'Cable / Satellite / Pay TV available', 'Telephone', ' Hot / Cold Running Water', 'Housekeeping', 'Breakfast Available', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Attached Bathroom', 'Bedside Table', 'Daily Room Cleaning', 'Western Toilet Seat']"
702,H000342,El-Shaddai Homes,The standard check-in time is 06:00 AM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"2594, 2nd cross, 18th main, hal 2nd stage, indiranagar","['Manipal Hospitals', 'Indiranagar']",Bangalore,Karnataka,India,12.9618572,77.6434884,Homestay,0,"['Business Center ', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Secretarial Services', '24 Hour Front Desk', 'Power Backup', 'Car Rental', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Air / Rail Booking', 'Courier Service', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone', 'Shower Facility Available']"
703,H000343,Downhill Village,The standard check-in time is 11:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Arpora Siolim road,Gaum Waddi,Anjuna, Bardez,","['Anjuna Beach Bus Stop', 'North Goa', 'Anjuna Area', 'Anjuna Beach']",Goa,Goa,India,15.5864219666,73.7580718994,Guest House,0,"['Airport Transfer Available / Surcharge', 'Barbecue Area', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Gardens', 'Wake-up Call / Service', 'Wheelchair Accessibility - Room', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Open Air Restaurant / Dining ', ' Bike on Rent', 'Village Visit ( Chargeable )', 'Car Rental', 'Taxi Services', 'Food Facility', 'Air / Rail Booking', 'Outdoor Parking - Non Secured', 'Parking Facility', 'Restaurant', 'Room Service', 'CCTV', 'First-Aid Kit at Front Desk', 'Full Time Operation for All 7 Days', 'Paid Transfers', 'Public Restrooms']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Iron / Ironing board available', 'Internet Connection In Room', 'Shower Facility Available', 'Newspapers', 'Toiletries', 'TV', 'Attached Bathroom']"
707,H000344,Fortune Select Grand Ridge,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Check in time 12:00 noon. Check out time 12:00Noon. Valid photo ID required for all adult guests. Outside food and/or drinks are not allowed in the premises. Pets not allowed.,"Shilparamam, Tiruchanoor Road, Chennai Bangalore Highway, Tirupati","['Sri Kapileswaraswami temple', 'Padmavathi Temple', 'Tirumala Tirupati Devasthanam Garden', 'Tirumala Tirupati Devasthanam', 'Old Tirchanoor Road', 'Tirupati Bus Stand']",Tirupati,Andhra Pradesh,India,13.6137930617,79.4409705265,Hotel,5,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Babysitting/ Child Care (surcharge)', 'Ballroom', 'Banquet Facilities', 'Bar / Lounge ', 'Beauty Salon - on charge', 'Business Center ', 'Concierge', 'Currency Exchange', 'Disabled Friendly Facilities ', 'Doctor on Call', 'Dry Cleaning', 'Gift Shop ', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Library', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Private / Plunge Pool', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Spa On Site - Chargeable', 'Local Tour / Travel Desk', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Express Check-In / Check-Out', 'Audio - Visual Equipment', 'Wedding Services Facility', 'Catering', 'Multi Lingual Staff', 'Exhibit Space', 'Wake-up Call / Service', 'Fitness Equipment', 'Porter / Bellhop', 'Suitable For Children', 'Coffee Shop / Cafe', 'Conference Facility ', 'Smoking Rooms', 'Disabled Friendly Rooms', 'Fax Machine', 'Electronic / Magnetic Keys', 'Limousine Service Available', 'Multi - Line Phone', 'Fire Place Available ', 'Cell Phone Rental', 'Wheelchair Accessibility - Room', 'Massage Services ', 'Poolside Bar', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Smoking Area ', 'Veg / Non Veg Kitchens Separate ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Car Rental', 'Express Laundry', 'Oxygen Cylinder (on request)', 'Taxi Services', 'Board Room', 'Campfire / Bon Fire', 'Food Facility', ' Drivers Rest Room', 'Newspapers In Lobby', 'Whirlpool Bath / Shower Cubicle', 'Room Service (24 Hours)', 'Spa Services Nearby', 'Voicemail', 'Party hall', 'Air / Rail Booking', 'STD / ISD', 'Baggage Room', 'Courier Service', 'Guide / Sightseeing Service', 'Adjoining Rooms', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Voicemail', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Newspapers', 'Reading Lamps', 'Mineral Water', 'Premium Beddings / Hypo-Allergenic ', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Makeup / Shaving Mirror', 'Climate Control', 'Slippers', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Blackout Drapes', 'Safe - In - Room ', 'Fruit Basket', 'Cribs Available', 'Wardrobe', 'HD / LCD Satellite TV ', 'TV', 'Bathrobes', 'Rollaway Beds', 'Channel Music', 'Mirror', 'Electronic Weighing Machine', 'Work Station', 'Stationery Kit', 'Luggage Rack', 'Clothes Hook in Bathroom']"
708,H000345,Firdous,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"GATE NO 9, BOULEVARD  ROAD , DALLAKE  SRINAGAR KASHMIR INDIA","['Tourist Reception Centre', 'Pir Haji Muhammed Ziarat', 'Kashmir Golf Club', 'Dastgir Sahib', 'Dal Lake Area', 'Gandhi Memorial College', 'Hari Parbat Fort']",Srinagar,Jammu and Kashmir,India,34.0836581,74.7973681,Houseboat,0,"['Laundry Service Available', 'Locker Facility', 'Power Backup', 'Airport Transfer Free']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities']"
710,H000346,Emarald Hotel,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly **** Compulsory Supplement Charges to be Paid **** Mandatory New Year Gala Dinner Charges on 31st Dec at Rs.1500 per person,to be paid at the hotel directly at the time of check in. Mandatory Christmas Gala Dinner charges on 24th Dec at Rs.1500 per person,to be paid at the hotel directly at the time of check in.","No.22, P H Road Periamet, Near Everest Bus Stop ,Opposite Rippon Building, Chennai , TN 03","['Marina Beach', 'Chennai International Airport', 'Parthasarathy Temple', 'Santhome Basilica Church', 'Egmore museum ', 'Chennai City Centre', 'MA Chidambaram Stadium', 'Chennai Park Railway Station', 'Chennai Fort Railway Station', 'Chennai Egmore Station', 'Fort St George', 'Nehru Stadium', 'Anna Square Bus Stand', 'Madras High court', 'Consulate Of Dubai', 'Consulate Gen Fdr Repub Of German', 'Chennai Suburban Railway Station', 'Chennai Central Railway Station', 'Madras Medical College', 'Chennai Central Bus Stand', 'Government Museum', 'Beach station', 'British Deputy High Commission']",Chennai,Tamil Nadu,India,13.0805482,80.2685631,Hotel,2,"['Business Center ', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Gardens', 'Conference Facility ', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Taxi Services', 'Room Service (24 Hours)', 'Parking Facility']","['Room Service ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Clothes Dryer', 'Crockery / Cutlery', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Telephone', 'Washing machine', ' Hot / Cold Running Water']"
711,H000347,Fortune Landmark,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We are upgrading the product (Renovation in progress). Your room has been booked in the new block which is completely devoid of the renovation work happening in other parts of the hotel. There is a temporary passage in place to lead you to the Reception area.  Cancellation / Amendment for booking made under any offer will be non refundable. Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Adjoining Meghdoot Gardens,"['Ujjain', 'Bhopal', 'Railway Station', 'Patal Pani', 'Kasturbagram', 'Pithampur', 'Mahesh war', 'Dewas', 'Int  Airport', 'Meghdoot Garden', 'Vijay Nagar', 'Devi Ahilyabai Holkar Airport']",Indore,Madhya Pradesh,India,22.7525964588,75.8837703695,Hotel,5,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Babysitting/ Child Care (surcharge)', 'Ballroom', 'Banquet Facilities', 'Bar / Lounge ', 'Beauty Salon - on charge', 'Business Center ', 'Concierge', 'Currency Exchange', 'Disabled Friendly Facilities ', 'Doctor on Call', 'Dry Cleaning', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Secretarial Services', 'Local Tour / Travel Desk', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Power Backup', 'Express Check-In / Check-Out', 'Gardens', 'Wedding Services Facility', 'Catering', 'Exhibit Space', 'Wake-up Call / Service', 'Fitness Equipment', 'Porter / Bellhop', 'Sauna', 'Coffee Shop / Cafe', 'Conference Facility ', 'Smoking Rooms', 'Disabled Friendly Rooms', 'Fax Machine', 'Electronic / Magnetic Keys', 'Limousine Service Available', 'Multi - Line Phone', 'Cell Phone Rental', 'Jacuzzi', 'Wheelchair Accessibility - Room', 'Massage Services ', 'Poolside Bar', 'Smoking Area ', 'Veranda', 'Open Air Restaurant / Dining ', 'Extra Person / Child - Share the same room', 'Express Laundry', 'Mini Theatre', 'Board Room', 'Karaoke ', 'Food Facility', 'Newspapers In Lobby', 'Electronic Check-Out', ""Children's Park"", 'Whirlpool Bath / Shower Cubicle', 'Room Service (24 Hours)', 'Party hall', 'STD / ISD', 'Baggage Room', 'Adjoining Rooms', 'RO Water Purification System', 'Airport Transfer Free', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Hairdryer (on request)', 'Heating Facility (on request) ', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', 'Shower Caps Available', 'Mineral Water', 'Premium Beddings / Hypo-Allergenic ', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Makeup / Shaving Mirror', 'Climate Control', 'Slippers', 'Bathtub Only', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Blackout Drapes', 'Safe - In - Room ', 'Fruit Basket', 'Cribs Available', 'Safe (on request)', 'Wardrobe', 'TV', 'Room Heater', 'Bathrobes', 'Rollaway Beds', 'Mirror', 'Mini Refrigerator', 'Electronic Weighing Machine', 'Stationery Kit', 'Luggage Rack']"
712,H000348,Diamond Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel. Check in and Check out - 12 Noon,Bhelupur,"['Bharat Mata Temple', 'Tulsi Ghat', 'Banaras Hindu University', 'Bhelupur', 'Jantar Mantar', 'Kashi Vishwanath Temple', 'Harishchandra Ghat']",Varanasi,Uttar Pradesh,India,25.2980346457,83.0015483562,Hotel,3,"['Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Doorman', 'Medical Assistance Available', 'Power Backup', 'Gardens', 'Porter / Bellhop', 'Suitable For Children', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Internet Access Free', 'Room Service (24 Hours)', 'Air / Rail Booking', 'Guide / Sightseeing Service', 'Parking Facility', 'Public Restrooms']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Tea Coffee Kettle / Maker', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', 'Reading Lamps', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Moisturiser', 'Safe - In - Room ', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Room Heater', 'Mirror', 'Custom Duvets / Linen', 'Luggage Rack', 'Attached Bathroom']"
716,H000349,FabHotel Lotus Koregaon Park,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Our Inns reserve the right to admission. Accommodation can be denied to the guests posing as a couple if suitable identification and a non-local address proof is not presented at check-in. MAP plan includes limited menu meal.,"Hotel Lotus Lane No. 5, Koregaon Park, Pune, Maharashtra 411001","['Prabhat Cinema', 'Rahul Cinema', 'AFMC College of Nursing', 'Koregaon Park', 'Poona Club Golf Course', 'Wadia College', 'Pune Airport']",Pune,Maharashtra,India,18.5296029,73.8760153,Hotel,3,"['Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', '24 Hour Front Desk', 'Air-Conditioning - Central', 'Power Backup', 'Vegetarian Food / Jain Food Available', 'Food Facility', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Balcony / Terrace', 'Ceiling Fan', 'Internet Connection In Room', 'Shower Facility Available', 'Newspapers', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Window Opens', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Safe - In - Room ', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Soundproof Windows', 'Luggage Rack', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Dustbins', 'In-room Storage Space', 'In-Room Safe', 'Phone Messaging Services', 'Room Door Fitted with Lock and Key', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms']"
720,H000350,Fortune Hotel The South Park,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Cancellation and Amendment for bookings made under any offer may be Non Refundable Hotel may charge compulsory Gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"MG Road,Palayam, Trivandrum, Kerala","['Trivandrum International Airport', 'Mg Road']",Thiruvananthapuram,Kerala,India,8.5009432717,76.9497918619,Hotel,4,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Babysitting/ Child Care (surcharge)', 'Banquet Facilities', 'Bar / Lounge ', 'Beauty Salon - on charge', 'Business Center ', 'Concierge', 'Currency Exchange', 'Disabled Friendly Facilities ', 'Doctor on Call', 'Dry Cleaning', 'Gift Shop ', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Non Smoking Hotel', 'Local Tour / Travel Desk', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Power Backup', 'Express Check-In / Check-Out', 'Audio - Visual Equipment', 'Computer Rental', 'Wedding Services Facility', 'Catering', 'Wake-up Call / Service', 'Fitness Equipment', 'Porter / Bellhop', 'Suitable For Children', 'Coffee Shop / Cafe', 'Conference Facility ', 'Smoking Rooms', 'Access Via Exterior Corridors', 'Disabled Friendly Rooms', 'Fax Machine', 'Electronic / Magnetic Keys', 'Multi - Line Phone', 'Wheelchair Accessibility - Room', 'Massage Services ', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Smoking Area ', 'Vegetarian Food / Jain Food Available', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Car Rental', 'Express Laundry', 'Oxygen Cylinder (on request)', 'Taxi Services', 'Board Room', 'Food Facility', ' Drivers Rest Room', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Family Room', 'Room Service (24 Hours)', 'Party hall', 'Air / Rail Booking', 'STD / ISD', 'Baggage Room', 'Courier Service', 'Laptop Available on Hire', 'Adjoining Rooms', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Restaurant', 'Room Service', 'Fire Safety', 'Anti-Slip Ramps', 'CCTV', 'Fire Exit Signs', 'First-Aid Kit at Front Desk', 'Full Time Operation for All 7 Days', 'Hotel Trading License', 'Metal Detectors', 'Paid Transfers', 'Pest Control Facility', 'Porter Services Available', 'Public Restrooms', 'Security at All Hotel Entrances', 'Smoke Detector', 'Stamps and Mailing Facility', 'Suites']","['Mini bar - On Charge ', 'TV']"
721,H000351,Fariyas Resort,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The advance payment will be non refundable and will be carried forward as credit balance.,"Frichley Hills, Tungarli","['Tungarli Lake Area', 'Lonavala Railway Station', 'Kumar Resort water park', 'Triose Mall', 'Narayanidham Mandir', 'Bus Stand', 'Tungarli Lake']",Lonavala,Maharashtra,India,18.7620734889,73.3921177135,Resort,5,"['Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Beauty Salon - on charge', 'Concierge', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Doorman', 'Medical Assistance Available', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Wedding Services Facility', 'Wake-up Call / Service', 'Sauna', 'Coffee Shop / Cafe', 'Conference Facility ', 'Electronic / Magnetic Keys', 'Jacuzzi', 'Pool Table', 'Veg / Non Veg Kitchens Separate ', 'Car Rental', 'Kids Play Zone', ' Drivers Rest Room', 'Newspapers In Lobby', 'Party hall']","['Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Tea Coffee Kettle / Maker', 'Refrigerator', 'Telephone', ' Hot / Cold Running Water']"
724,H000352,EXCALIBUR,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly 1.ALL GUESTS ARE REQUIRED TO PRESENT PROPER PHOTO IDENTIFICATION UPON CHECK IN. 2.The identity proof would include a valid Driving license/voter identity card/PAN card, etc. Valid Passport mandatory for all Foreign guests. 3.Booking rates will not be valid for Christmas and New year dates High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. No refund would be applicable in case the hotel denies check-in under such circumstances.","HOTEL EXCALIBUR,CARITHAS JUNCTION,M.C.ROAD,THELLOKOM P O KOTTAYAM","['Kottayam Station', 'M.C Road', 'Marmala']",Kottayam,Kerala,India,9.5915668,76.5221531,Hotel,4,"['Bar / Lounge ', 'Business Center ', 'Doctor on Call', 'Health Club / Gym Facility Available', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', '24 Hour Front Desk', 'Medical Assistance Available', 'Power Backup', 'Nature Walk', 'Newspapers In Lobby', 'STD / ISD', 'Internet / Fax (Reception area only)', 'Parking Facility', 'Room Service', 'Fire Safety', 'CCTV', 'Fire Exit Signs', 'First-Aid Kit at Front Desk', 'Paid Transfers', 'Stamps and Mailing Facility']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Crockery / Cutlery', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Internet Connection In Room', 'Radio', 'Telephone', 'Newspapers', 'Shower Caps Available', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Slippers', 'Primium Bathrooms', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Safe - In - Room ', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'International Switch Plugs (on request)', 'TV', 'Mirror', 'Custom Duvets / Linen', 'Mini Refrigerator', 'Utensils (on request)', 'Luggage Rack', 'Attached Bathroom', 'Closet', 'Bedside Table', 'Complete Bedding', 'Curtains/Shades', 'Daily Room Cleaning', 'Disabled Friendly Bathrooms', 'Do-Not-Disturb Notice', 'Dustbins', 'Extra Toilteries on Demand', 'Ice Bucket on Demand', 'In-room Storage Space', 'In-Room Safe', 'Modern Toilet Facilities', 'Room Door Fitted with Lock and Key', 'Rooms with Attached Bathrooms', 'Sanitary Bin', 'Sufficient Lighting', 'Telephone in Toilet', 'Western Toilet Seat']"
