,hotel_id,hotel_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,site_review_rating,hotel_facilities,room_facilities
10,H000011,Staybridge Suites,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,120 Expressway,"['Airport Area, Pallavaram', 'Chennai International Airport']",Missoula,MT,US,46.9,-114.1,Hotel,2,3.8,"('Front Desk', 'Parking Facility')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Breakfast Available', 'Coffee Table', 'Desk', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mirror', 'Newspapers', 'Telephone', 'Toiletries')"
11,H000012,Hampton Inn Gatlinburg Historic Nature Trail,The standard check-in time is 11:00 PM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,520 Historic Nature Trail,"['Future Group Cosmos Mall', 'Marathahalli', 'Inorbit Mall', 'UIDAI Technology Center', 'Vydehi Institute of Medical Sciences &amp; Research Centre', 'Kalamandir Bus Stop', 'Bellandur Railway Station', 'Vydehi Institute of Medical Sciences & Research Centre']",Gatlinburg,TN,US,35.7,-83.5,Hotel,0,5.0,"('Front Desk', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Parking Facility', 'Power Backup', 'Speciality Restaurant')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Dustbins', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Luggage Rack', 'Mirror', 'Newspapers', 'Television', 'Video/ DVD/ CD Player Available', 'Outdoor Parking')"
12,H000013,Granzellas Inn,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,391 6th St,"['Pushkar Lake', 'Brahma Temple', 'Savitri Temple', 'Brahma Temple Area']",Williams,CA,US,39.2,-122.1,Hotel,0,4.4,"('Doctor on Call', 'Multi Cuisine Restaurant')","('Ensuite / Private Bathroom', 'Television')"
13,H000014,Best Western Kennesaw Inn,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly unmarried couple are not allowed.,3375 Busbee Dr NW,"['Nehru Stadium', 'Guwahati Railway Station', 'Assam State Museum', 'G.S. Road']",Kennesaw,GA,US,34.0,-84.6,Guest House,3,4.0,"('Front Desk', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Multi Lingual Staff', 'Parking Facility', 'Party hall', 'Power Backup', 'Suites', 'Vegetarian Food / Jain Food Available')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Ceiling Fan', 'Complete Bedding', 'Curtains/Shades', 'Dustbins', 'Ensuite / Private Bathroom', 'Mineral Water', 'Mirror', 'Room Door Fitted with Lock and Key', 'Sanitary Bin', 'Television', 'Outdoor Parking')"
14,H000015,Americas Best Value Inn Green River,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In keeping with our security procedures, we request all guests to carry a photo identity proof to present at check in.Foreign nationals are required to submit passport and valid visa. Our hotel is Non smoking Non alcoholic hotel.",2125 E Main St,"['The Ramana Ashram', 'Virupaksha Cave', 'Athiyanthal Village']",Green River,UT,US,39.0,-110.1,Hotel,3,5.0,"(' Drivers Rest Room', 'Access Via Exterior Corridors', 'Babysitting/ Child Care (surcharge)', 'Banquet Facilities', 'Car Rental', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Express Laundry', 'Extra Person / Child - Share the same room', 'Front Desk', 'Gift Shop ', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Local Tour / Travel Desk', 'Locker Facility', 'Major Credit Cards Accepted', 'Multi Cuisine Restaurant', 'Multi Lingual Staff', 'Parking Facility', 'Party hall', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Power Backup', 'RO Water Purification System', 'Valet service', 'Wake-up Call / Service', 'Welcome Drinks')","('Air Conditioning', 'Attached Bathroom', 'Balcony', 'Breakfast Available', 'Ceiling Fan', 'Closet', 'Daily Room Cleaning', 'Desk', 'Dustbins', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hairdryer', 'Hot / Cold Running Water', 'Housekeeping', 'Mineral Water', 'Mini Bar', 'Mini Refrigerator', 'Mirror', 'Newspapers', 'No Smoking Room', 'Premium Amenities / Toiletries', 'Slippers', ""Split A.C's"", 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Wardrobe', 'Iron / Ironing board')"
15,H000016,Vagabond Inn Sunnyvale,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",816 W Ahwanee Ave,"['Kailas Ashram', 'Tapovan', 'Lakshman Jhula']",Sunnyvale,CA,US,37.4,-122.0,Hotel,2,3.0,"(' Bike on Rent', ' Drivers Rest Room', 'Air / Rail Booking', 'Baggage Room', 'CCTV', 'Car Rental', 'Courier Service', 'Currency Exchange', 'Doctor on Call', 'Express Check-In / Check-Out', 'Family Room', 'Fax Machine', 'First-Aid Kit at Front Desk', 'Front Desk', 'Full Time Operation for All 7 Days', 'Internet Access - Surcharge', 'Laundry Service Available', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', 'Medical Assistance Available', 'Paid Transfers', 'Parking Facility', 'Postal / Parcel Services', 'Power Backup', 'Smoking Area', 'Stamps and Mailing Facility', 'Taxi Services', 'Vegetarian Food / Jain Food Available', 'Wake-up Call / Service')","('Air Conditioning', 'Attached Bathroom', 'Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Daily Room Cleaning', 'HD / LCD Satellite TV', 'Hairdryer', 'Hill View from all Rooms', 'Hot / Cold Running Water', 'Housekeeping', 'Ice Bucket on Demand', 'Modern Toilet Facilities', 'Newspapers', 'Phone Messaging Services', 'Soundproof Windows', 'Telephone', 'Television', 'Toiletries', 'Western Toilet Seat', 'Heating Facility on Request', 'Window Open / Ventilation', 'Airport Transfer')"
16,H000017,Champions Lodge,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,4726 Fm 1960 Rd W,"['phoolbagh', 'Captain Roop Singh Stadium', 'Lashkar', 'Suraj Kund']",Houston,TX,US,30.0,-95.5,Hotel,0,2.0,"('Doctor on Call', 'Front Desk', 'Parking Facility')","('Bathroom Amenities', 'Breakfast Available', 'Ceiling Fan', 'Desk', 'Dustbins', 'Ensuite / Private Bathroom', 'Hot / Cold Running Water', 'Housekeeping', 'Mirror', 'Television', 'Toiletries')"
17,H000018,High Desert Motel,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Unmarried Couples (Fiancee, Girlfriend) are not allowed. Guest with local id proofs won't be entertained..  24 hours check in available.  Photo ID Proof of each and every person is mandatory at the time of check in.",61310 29 Palms Hwy,"['Sector 51', 'Woven Gold', 'Worlds of Wonder']",Joshua Tree,CA,US,34.1,-116.3,Hotel,0,1.0,"('Car Rental', 'Front Desk', 'Full Time Operation for All 7 Days', 'Laundry Service Available', 'Locker Facility', 'Medical Assistance Available', 'Parking Facility', 'Power Backup', 'Security at All Hotel Entrances', 'Welcome Drinks')","('Air Conditioning', 'Alarm Clock', 'Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Bedside Table', 'Bidet', 'Breakfast Available', 'Closet', 'Clothes Hook in Bathroom', 'Coffee Table', 'Complete Bedding', 'Crockery / Cutlery', 'Curtains/Shades', 'Daily Room Cleaning', 'Desk', 'Do-Not-Disturb Notice', 'Dressing Area', 'Dustbins', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Extra Toilteries on Demand', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Ice Bucket on Demand', 'In-room Storage Space', 'Kitchenette', 'Luggage Rack', 'Mineral Water', 'Mini Refrigerator', 'Mirror', 'Modern Toilet Facilities', 'Newspapers', 'Room Door Fitted with Lock and Key', 'Sanitary Bin', 'Slippers', 'Snacks / Beverage', 'Soundproof Windows', ""Split A.C's"", 'Telephone', 'Toaster', 'Toiletries', 'Utensils (on request)', 'Wardrobe', 'Western Toilet Seat', 'Work Station', 'Heating Facility on Request', 'Safe', 'Iron / Ironing board', 'Window Open / Ventilation', 'Outdoor Parking')"
18,H000019,Sleepy Valley Inn,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Photo identity is mandatory for all the guest who crossed their minority Pan card is not valid as photo identity pets not allowed Swimming costumes is mandatory for entering swimming pool,117 Sleepy Valley Rd,"['Anjuna Area', 'Anjuna Beach', 'Calangute Beach', 'Titos lane, baga', 'Baga Beach', 'North Goa', 'Vagator Beach']",Warwick,NY,US,41.3,-74.4,Hotel,3,4.0,"('Parking Facility', 'Power Backup', 'Suites', 'Swimming Pool')","('Air Conditioning', 'Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Bedside Table', 'Breakfast Available', 'Ceiling Fan', 'Clothes Hook in Bathroom', 'Crockery / Cutlery', 'Curtains/Shades', 'Daily Room Cleaning', 'Do-Not-Disturb Notice', 'Dustbins', 'HD / LCD Satellite TV', 'Hot / Cold Running Water', 'Housekeeping', 'Ice Bucket on Demand', 'In-room Storage Space', 'Mineral Water', 'Mirror', 'Modern Toilet Facilities', 'Premium Amenities / Toiletries', 'Room Door Fitted with Lock and Key', ""Split A.C's"", 'Tea Coffee Kettle / Maker', 'Telephone', 'Television', 'Toiletries', 'Wardrobe', 'Western Toilet Seat', 'Window Open / Ventilation', 'Outdoor Parking')"
19,H000020,El Rancho Motel,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,370 Orange Ave,['Purba Medinipur'],Coronado,CA,US,32.7,-117.2,Resort,2,3.5,"('Doctor on Call',)","('Attached Bathroom', 'Bathroom Amenities')"
20,H000021,Best Western Plus South Coast Inn,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion. Rights of Admission reserved.",5620 Calle Real,['Mallandur'],Goleta,CA,US,34.4,-119.8,Homestay,1,1.0,"('Doctor on Call', 'Gardens', 'Guide / Sightseeing Service', 'Nature Walk', 'Parking Facility', 'Taxi Services', 'Veranda')","('Attached Bathroom', 'Balcony', 'Bathroom Amenities', 'Breakfast Available', 'Desk', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Hot / Cold Running Water', 'Housekeeping', 'Newspapers', 'Reading Lamps', 'Tea Coffee Kettle / Maker', 'Television', 'Outdoor Parking')"
21,H000022,Hotel Finial,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly  NOTE: Valid govt. issued PHOTO ID DRIVING LICENCE, PASSPORT, VOTER ID IS MANDATORY AT THE TIME OF CHECK IN AT THE HOTEL. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly.",1604 Quintard Ave,"['Chennai International Airport', 'Koyambedu Private Bus Terminus', 'AVM Film Studio', 'Ambattur Estate MTC Bus Depot', 'Koyambedu', 'Bus Stop - Koyambedu', 'Kodambakkam Market', 'The Forum Vijaya Mall', 'Wavin Bus Stop']",Anniston,AL,US,33.7,-85.8,Hotel,2,3.0,"('Air-Conditioning - Central',)","('Air Conditioning', 'Alarm Clock', 'Breakfast Available')"
22,H000023,Dreamers Lodge,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No Pets allowed,144 N Canyon Blvd,"['Rameshwaram Dham', 'Ranthambhor Ganesh Temple', 'Ranthambhore', 'Chamatkar Temple']",John Day,OR,US,44.4,-119.0,Hotel,4,5.0,"('Bar / Lounge ', 'Business Center', 'Front Desk', 'Gardens', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Locker Facility', 'Multi Cuisine Restaurant', 'Parking Facility', 'Power Backup', 'Public Restrooms', 'Speciality Restaurant', 'Suites', 'Swimming Pool')","('Hot / Cold Running Water', 'Tea Coffee Kettle / Maker', 'Television', 'Safe', 'Outdoor Parking', 'Porter Services')"
23,H000024,Best Western San Diego/Miramar Hotel,The standard check-in time is 10:00 AM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,9310 Kearny Mesa Rd,['Kalpetta'],San Diego,CA,US,32.9,-117.1,Resort,0,4.0,"('Front Desk', 'Locker Facility', 'Parking Facility', 'Power Backup')","('Attached Bathroom', 'Ceiling Fan', 'Hot / Cold Running Water', 'Housekeeping', 'Mirror', 'Television', 'Toiletries')"
24,H000025,Hampton Inn Roanoke/Hollins - I-81,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge gala dinner supplement on Christmas/New Years eve or other festive periods. Which needs to be paid directly at the hotel.As per the govt. guidelines valid govt. issued id proofs are required to be presented at the Time of C/in.,7922 Plantation Rd,"['City Palace', 'Jantar Mantar', 'Triton Mall', 'Bani Park', 'Jaipur Railway Station']",Roanoke,VA,US,37.4,-80.0,Hotel,0,4.0,"('Business Center', 'Car Rental', 'Front Desk', 'Guide / Sightseeing Service', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lobby', 'Local Tour / Travel Desk', 'Multi Cuisine Restaurant', 'Parking Facility')","('Attached Bathroom', 'Bathroom Amenities', 'HD / LCD Satellite TV', 'Hairdryer', 'Hot / Cold Running Water', 'Mirror', 'Telephone', 'Iron / Ironing board')"
25,H000026,Red Roof Inn & Suites Oxford,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We expect guests to be quiet and civilised in all public areas of the resort.  Refrain from playing loud music at night.  Free Breakfast is limited as per Hotel Menu and would be served at the room. WIFI is chargeable,138 Elm St,"['Candolim Bus Stop', 'Sinquerim Beach', 'Calangute Beach', 'Titos lane, baga', 'Baga Beach', 'Calangute Area', 'North Goa', 'Calangute Bus Stand', 'Candolim Beach']",Oxford,AL,US,33.6,-85.8,Service Apartment,2,3.6,"('Bar / Lounge ', 'Gardens', 'Internet Access - Surcharge', 'Multi Cuisine Restaurant', 'Parking Facility', 'Swimming Pool')","('Air Conditioning', 'Balcony', 'Ceiling Fan', 'Full Kitchen', 'Housekeeping', 'Induction Plate', 'Mineral Water', 'Mirror', 'Sofa Cum Bed Available', ""Split A.C's"", 'Tea Coffee Kettle / Maker', 'Television', 'Wardrobe', 'Washing machine', 'Microwave / Oven', 'Outdoor Parking')"
